CONSEJO NACIONAL ELECTORAL,,,,,,,,,,,,,,,,,,,,,,,,,,
COORDINACIÓN NACIONAL TÉCNICA DE PROCESOS ELECTORALES,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN NACIONAL DE REGISTRO ELECTORAL,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECCIONES SECCIONALES Y CONSEJO DE PARTICIPACIÓN CIUDADANA Y CONTROL SOCIAL 2027,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRIBUTIVO DE RECINTOS ELECTORALES,,,,,,,,,,,,,,,,,,,,,,,,,,
Corte: al 11 de agosto de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CODIGO PROVINCIA,NOMBRE PROVINCIA,CODIGO CANTON,NOMBRE CANTON,CODIGO PARROQUIA,NOMBRE PARROQUIA,CODIGO ZONA,NOMBRE ZONA,CODIGO RECINTO,NOMBRE RECINTO,CDA,DIRECCION RECINTO,TELEFONO,JUN FEM,JUN MAS,NUM JUNR,JUN INIF,JUN FINF,JUN INIM,JUN FINM,NUMERO ELECTORES,X,Y,long,lat,DIFICIL ACCESO,SIN CONECTIVIDAD
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,5,BELLA RICA,5021,ESCUELA DE EDUCACION BASICA EL DIAMANTE,NO,ENTRADA A BELLA RICA,0,1,1,2,1,1,1,1,395,643644,9659608,-79.70736392,-3.07881598,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,1539,COLEGIO DE BACHILLERATO PONCE ENRIQUEZ,SI,28 DE MARZO Y VIA BELLA RICA,72430004,7,7,14,1,7,1,7,4900,639535.1956,9661330.35,-79.74435072,-3.06328196,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,2285,ESCUELA MIGUEL HEREDIA CRESPO,SI,ALBERTO CHEREZ Y FRANCISCO VIDAL,72430548,5,5,10,8,12,8,12,3500,639279,9661349,-79.746656,-3.06311598,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,5849,UNIDAD EDUCATIVA PARTICULAR DIVINO NIÑO,NO,AV. RIO 7 Y DIVINO NIÑO,0,4,4,8,13,16,13,16,2800,638938,9661387,-79.74972449,-3.06277588,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,1,CAMILO PONCE ENRIQUEZ,5854,ESCUELA DE EDUCACION BASICA MERCEDES CRESPO DE VEGA,NO,VIA PANAMERICANA Y RIO 7,72430501,4,5,9,17,20,17,21,2747,639307.2725,9662034.935,-79.74640883,-3.05691148,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,3,SAN ALFONSO,1329,UNIDAD EDUCATIVA LIBERTADOR BOLIVAR,NO,DIAGONAL A LA CANCHA DE FUTBOL -CAMPO ALEGRE-SAN ALFONSO,72534150,1,1,2,1,1,1,1,363,640234.77,9665095.318,-79.73809607,-3.02922096,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,6,SAN GERARDO,5855,UNIDAD EDUCATIVA 5 DE JUNIO,NO,CENTRO DE LA COMUNIDAD,73053622,1,1,2,1,1,1,1,672,651500.9102,9662812.326,-79.63671027,-3.04974606,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,4,SANTA MARTHA,1309,ESCUELA DE EDUCACIÓN BÁSICA 16 DE ENERO,NO,DIAGONAL A LA CASA COMUNAL SANTA MARTHA O AL COLLISEO LENIN BERMEO,0,1,1,2,1,1,1,1,188,644295,9664091,-79.70155543,-3.03826137,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,6875,CAMILO PONCE ENRIQUEZ,2,ZHUMIRAL,1249,UNIDAD EDUCATIVA VÍCTOR GERARDO AGUILAR/ESCUELA VICTOR GERARDO AGUILAR,NO,CENTRO DE LA COMUNIDAD,2295062,3,2,5,1,3,1,2,1563,645911,9670525,-79.68708599,-2.98005029,NO,NO
1,AZUAY,556,CAMILO PONCE ENRIQUEZ,1130,EL CARMEN DE PIJILI,0,,2258,ESCUELA DE EDUCACIÓN BÁSICA 16 DE JULIO,NO,CARMEN DE PILIJI,73062031,2,2,4,1,2,1,2,1098,664306,9672143,-79.5216214,-2.96520632,NO,NO
